site_id,lat,lon,elev_m,dist_river_m,pop_served,base_risk,flooded_2021
409,3.529,102.1856,64.2124,1708.7095,1838.0,0.0451,0
410,3.5042,102.4162,49.4667,1642.971,3654.0,0.2291,0
411,3.5127,102.4487,35.2409,1824.3984,1807.0,0.5561,0
412,3.5131,102.4005,55.6513,3231.1575,2971.0,0.1059,0
413,3.5868,102.6253,38.0425,6565.7569,640.0,0.3777,0
414,3.5856,102.6425,37.0315,6277.4435,680.0,0.4485,0
415,3.5254,102.476,39.3511,4535.5098,480.0,0.3684,0
416,3.5269,102.1848,84.7617,1671.2222,1926.0,0.0053,0
417,3.5841,102.6692,24.4683,5814.101,746.0,0.727,0
418,3.579,102.6921,33.0548,4929.5336,1241.0,0.5473,0
419,3.5408,102.5028,44.3561,6541.4091,2240.0,0.238,0
420,3.5395,102.497,44.4845,6017.4877,1866.0,0.2399,0
421,3.5401,102.5009,40.6572,6367.9854,2143.0,0.318,0
422,3.5278,102.5165,45.5514,5545.631,2351.0,0.2269,0
423,3.551,102.5162,44.2235,7327.7088,2668.0,0.2339,0
424,3.4734,102.111,60.5805,960.1173,1664.0,0.0683,0
425,3.5121,102.4397,41.3961,807.099,2127.0,0.3826,0
426,3.511,102.4359,44.172,388.3372,2265.0,0.3174,0
427,3.5173,102.166,73.6566,317.5437,2092.0,0.0207,0
428,3.5237,102.5766,22.0,29.8719,1411.0,0.8709,0
429,3.5107,102.3378,36.4703,1464.9517,2347.0,0.5415,0
430,3.5307,102.5082,78.5178,6470.6725,2280.0,0.0082,0
431,3.5935,102.5359,64.5204,8929.5684,1123.0,0.0317,0
432,3.5117,102.4647,56.7326,3564.9299,833.0,0.0879,0
433,3.5126,102.3373,47.4394,1350.8649,1814.0,0.2683,0
434,3.5059,102.4129,44.6531,1975.1808,3572.0,0.3553,0
435,3.451,102.3507,49.6408,1823.2333,16658.0,0.1823,0
436,3.453,102.3482,49.2365,1626.6385,17947.0,0.1917,0
437,3.4445,102.3652,56.9708,3040.7547,13033.0,0.0882,0
438,3.4506,102.3526,51.4305,1901.1078,16568.0,0.1564,0
439,3.461,102.3466,54.168,815.3706,25839.0,0.1268,0
440,3.4889,102.347,33.4426,545.1208,20025.0,0.6922,1
441,3.4772,102.3515,55.5589,1085.7371,22460.0,0.1092,0
442,3.4566,102.4054,36.7574,727.4534,25917.0,0.4891,0
443,3.4645,102.3935,36.9069,1019.6217,19209.0,0.5176,0
444,3.459,102.4018,34.137,761.6124,24733.0,0.5848,0
445,3.4664,102.3954,36.8226,734.7733,18672.0,0.6259,0
446,3.4488,102.4156,41.7099,861.6706,26243.0,0.3533,0
447,3.4495,102.4412,36.8945,1276.177,12722.0,0.4977,0
448,3.4431,102.4222,43.6113,415.0109,22796.0,0.3355,0
449,3.451,102.4128,37.1647,775.5487,27160.0,0.4868,0
450,3.4478,102.4177,39.2543,652.4377,25059.0,0.4172,0
451,3.4464,102.416,37.9554,879.1016,25760.0,0.4488,0
452,3.4447,102.4231,46.6235,215.4181,22804.0,0.2969,0
453,3.4409,102.4169,39.2154,1035.6992,24088.0,0.415,0
454,3.434,102.4118,38.9054,1913.9891,21705.0,0.4243,0
455,3.453,102.3523,55.2218,1630.7479,17705.0,0.1106,0
456,3.5079,102.4088,35.4293,2398.1582,3434.0,0.5404,0
457,3.4508,102.3481,50.5804,1867.4821,16501.0,0.1678,0
458,3.624,102.5369,48.0422,11128.202,781.0,0.1451,0
459,3.4971,102.5309,53.3927,2901.461,2086.0,0.1249,0
460,3.4502,102.448,39.877,1667.0115,9202.0,0.3928,0
461,3.4491,102.4427,36.2326,1333.9579,11664.0,0.4998,0
462,3.4531,102.4506,52.5014,1626.6382,8776.0,0.1447,1
463,3.4573,102.4672,34.4283,3036.6234,7512.0,0.5238,0
464,3.4571,102.4598,35.7864,2269.1627,7893.0,0.485,0
465,3.4841,102.3121,41.5436,3534.1843,11187.0,0.3324,0
466,3.4874,102.3101,47.2307,3240.1636,10096.0,0.2158,0
467,3.4925,102.3029,38.7114,2599.0687,5340.0,0.4256,0
468,3.4638,102.3267,67.0832,2632.3705,16822.0,0.0323,0
469,3.4526,102.3428,55.8001,1830.3152,17701.0,0.1056,0
470,3.4421,102.3685,61.519,3465.8009,10247.0,0.0551,0
471,3.4995,102.2654,60.708,1337.5975,2262.0,0.0671,0
472,3.5002,102.2704,49.4948,1712.1261,2966.0,0.2132,0
473,3.4964,102.2893,51.5485,1746.4454,3976.0,0.1577,1
474,3.4275,102.4054,52.9034,1930.9388,11938.0,0.1883,0
